,age,job,marital,education,default,balance,housing,loan,contact,day,duration,campaign,pdays,previous,poutcome,y
3293,37,technician,married,secondary,no,275,yes,no,unknown,5,132,1,-1,0,unknown,no
2879,32,services,married,primary,no,228,yes,no,cellular,21,1017,6,-1,0,unknown,yes
2069,42,technician,divorced,tertiary,no,802,no,no,telephone,28,119,2,-1,0,unknown,no
3969,28,self-employed,single,tertiary,no,805,no,no,cellular,26,69,1,99,1,success,no
1468,30,technician,married,tertiary,no,8351,no,no,cellular,11,345,3,-1,0,unknown,no
3534,31,self-employed,married,tertiary,no,1015,no,no,cellular,8,112,2,-1,0,unknown,no
1687,45,blue-collar,married,primary,no,714,no,no,unknown,12,108,1,-1,0,unknown,no
2299,53,services,divorced,primary,no,-291,yes,yes,unknown,7,591,1,-1,0,unknown,yes
156,49,technician,divorced,unknown,no,387,no,no,cellular,28,325,1,-1,0,unknown,yes
2090,54,technician,married,secondary,no,10185,no,no,cellular,12,251,1,186,3,success,yes
3580,45,management,married,tertiary,no,31472,no,no,cellular,19,568,7,-1,0,unknown,yes
3228,43,blue-collar,married,primary,no,-25,yes,no,cellular,12,254,4,365,2,failure,no
3220,49,entrepreneur,divorced,secondary,no,159,yes,no,unknown,13,95,3,-1,0,unknown,no
1866,25,student,single,secondary,no,1868,no,no,cellular,26,259,1,103,2,other,yes
1963,32,management,single,tertiary,no,2,yes,no,cellular,11,100,2,-1,0,unknown,yes
1836,31,management,single,secondary,no,0,no,no,cellular,18,87,7,-1,0,unknown,no
1901,44,unemployed,married,primary,yes,-43,yes,no,cellular,9,290,6,-1,0,unknown,no
2371,42,admin.,single,secondary,no,2790,yes,no,cellular,7,425,1,336,1,failure,no
3745,32,management,single,tertiary,no,5276,no,no,cellular,21,299,1,-1,0,unknown,no
3959,62,self-employed,divorced,tertiary,no,6,yes,no,cellular,13,216,1,183,4,success,yes
529,34,technician,single,secondary,no,1076,no,no,cellular,8,70,2,-1,0,unknown,no
3177,49,admin.,married,secondary,no,0,yes,yes,unknown,3,50,3,-1,0,unknown,no
2099,43,management,married,primary,no,62,yes,no,cellular,18,96,3,-1,0,unknown,no
532,35,management,single,secondary,no,0,yes,no,cellular,6,495,1,-1,0,unknown,no
3644,52,management,married,tertiary,no,31,no,no,cellular,10,135,1,-1,0,unknown,yes
750,50,blue-collar,married,unknown,no,0,no,no,unknown,11,249,1,-1,0,unknown,no
2656,59,management,married,tertiary,no,261,yes,yes,cellular,21,124,1,-1,0,unknown,no
957,73,retired,married,primary,no,279,no,no,cellular,28,399,3,-1,0,unknown,yes
2912,37,student,single,unknown,no,444,no,no,cellular,4,1063,5,-1,0,unknown,yes
2130,34,management,married,tertiary,no,1906,yes,no,cellular,14,68,3,-1,0,unknown,no
1494,50,blue-collar,divorced,secondary,no,204,yes,yes,unknown,14,421,1,-1,0,unknown,no
1194,39,admin.,married,secondary,no,2319,no,no,cellular,7,84,1,-1,0,unknown,no
640,52,management,divorced,primary,no,11,no,no,cellular,6,365,1,9,1,other,no
3838,27,services,single,secondary,no,223,yes,yes,cellular,13,297,2,-1,0,unknown,no
3267,35,self-employed,single,secondary,no,690,yes,no,cellular,17,1012,1,-1,0,unknown,no
2279,27,technician,single,secondary,no,1842,yes,yes,cellular,18,687,2,300,1,failure,no
1497,44,retired,married,secondary,no,181,yes,no,unknown,19,131,6,-1,0,unknown,no
2491,59,admin.,married,secondary,no,230,yes,no,unknown,6,190,3,-1,0,unknown,no
1354,46,management,married,tertiary,no,-71,yes,yes,telephone,24,258,2,-1,0,unknown,no
3760,39,blue-collar,divorced,secondary,yes,-202,yes,yes,cellular,15,157,4,-1,0,unknown,no
1831,49,entrepreneur,married,secondary,yes,-178,no,yes,unknown,12,84,1,-1,0,unknown,no
3882,38,blue-collar,married,primary,no,15477,no,no,unknown,20,114,2,-1,0,unknown,no
1613,46,admin.,married,secondary,no,179,yes,no,cellular,29,194,4,436,1,other,no
204,62,management,divorced,tertiary,no,5943,no,no,telephone,17,196,4,-1,0,unknown,yes
3836,34,management,married,tertiary,no,3696,no,no,cellular,8,758,2,160,5,other,yes
1626,34,technician,single,tertiary,no,144,yes,yes,cellular,21,213,3,89,16,failure,no
756,27,self-employed,single,tertiary,yes,5,no,yes,cellular,18,384,1,-1,0,unknown,no
1506,38,technician,divorced,secondary,no,0,yes,no,cellular,16,867,1,-1,0,unknown,no
1832,21,blue-collar,married,primary,no,-172,yes,yes,cellular,15,409,1,361,3,failure,yes
3886,35,blue-collar,married,secondary,no,26,yes,no,unknown,2,277,2,-1,0,unknown,no
3046,54,blue-collar,married,secondary,no,2059,yes,no,cellular,25,177,4,-1,0,unknown,no
416,36,blue-collar,married,secondary,no,426,yes,no,unknown,2,59,3,-1,0,unknown,no
766,35,technician,single,secondary,no,230,no,no,cellular,3,288,1,-1,0,unknown,no
3515,56,blue-collar,divorced,secondary,no,166,yes,no,unknown,14,350,2,-1,0,unknown,no
2814,35,blue-collar,married,secondary,no,1098,yes,no,unknown,26,19,17,-1,0,unknown,no
1515,36,blue-collar,married,secondary,no,0,yes,no,cellular,8,171,1,172,3,failure,no
2877,32,blue-collar,married,primary,no,1261,yes,no,cellular,21,104,1,182,1,failure,no
3925,43,management,married,tertiary,no,228,yes,no,cellular,2,84,1,-1,0,unknown,no
1209,35,services,single,secondary,no,2110,no,yes,cellular,7,39,1,-1,0,unknown,no
3847,69,technician,married,tertiary,no,482,no,no,cellular,29,478,1,267,1,failure,yes
2121,47,housemaid,single,tertiary,no,3727,no,no,unknown,12,993,6,-1,0,unknown,yes
2771,58,retired,married,tertiary,no,0,no,no,cellular,21,138,2,-1,0,unknown,no
2438,27,services,married,secondary,no,0,yes,no,cellular,28,334,8,-1,0,unknown,no
1342,30,blue-collar,single,primary,no,459,yes,no,cellular,17,439,1,-1,0,unknown,no
3119,32,technician,married,tertiary,no,2688,no,no,cellular,14,216,1,57,1,failure,yes
766,51,management,married,tertiary,no,437,yes,no,cellular,6,109,1,-1,0,unknown,no
1085,44,admin.,married,secondary,no,238,yes,yes,unknown,2,306,4,-1,0,unknown,no
3176,51,blue-collar,divorced,primary,no,602,yes,no,cellular,11,347,1,284,2,failure,no
3643,33,admin.,single,secondary,no,91,yes,no,cellular,17,400,2,-1,0,unknown,no
2590,52,entrepreneur,divorced,tertiary,no,199,yes,yes,cellular,3,373,1,236,2,failure,no
3469,32,admin.,divorced,secondary,no,0,no,no,cellular,10,212,1,-1,0,unknown,no
1221,53,admin.,divorced,secondary,no,315,yes,no,unknown,5,181,2,-1,0,unknown,no
3791,38,blue-collar,divorced,secondary,no,-90,no,yes,cellular,12,242,1,-1,0,unknown,no
2502,31,technician,single,secondary,no,49,yes,no,cellular,7,234,1,-1,0,unknown,no
3851,40,housemaid,divorced,primary,no,1,no,no,unknown,6,113,3,-1,0,unknown,no
120,31,technician,married,secondary,no,-305,no,yes,cellular,20,83,3,-1,0,unknown,no
2290,42,technician,married,tertiary,no,250,no,yes,cellular,12,213,3,-1,0,unknown,no
277,55,management,married,tertiary,no,913,no,no,unknown,17,462,5,-1,0,unknown,no
2573,42,blue-collar,married,secondary,no,-1664,yes,no,unknown,13,169,1,-1,0,unknown,no
617,51,admin.,married,secondary,no,113,yes,no,cellular,17,84,1,-1,0,unknown,no
1353,28,services,single,secondary,no,458,no,no,cellular,18,328,3,-1,0,unknown,no
2662,45,management,divorced,secondary,no,1950,no,no,cellular,4,498,1,-1,0,unknown,no
55,31,admin.,single,secondary,no,12,yes,no,unknown,5,208,2,-1,0,unknown,no
185,35,management,married,tertiary,no,854,no,yes,cellular,19,133,20,-1,0,unknown,no
3437,27,admin.,married,tertiary,no,346,no,no,cellular,11,212,1,-1,0,unknown,yes
778,31,management,single,tertiary,no,385,yes,no,unknown,21,304,1,-1,0,unknown,no
1126,30,admin.,married,secondary,no,490,yes,no,cellular,3,82,6,251,4,other,no
2585,31,blue-collar,single,secondary,no,3201,yes,no,unknown,26,96,5,-1,0,unknown,no
1849,43,admin.,married,secondary,no,132,no,no,cellular,27,187,2,71,1,success,yes
1990,38,blue-collar,married,secondary,no,526,yes,no,unknown,20,919,2,-1,0,unknown,no
515,26,blue-collar,married,secondary,no,284,yes,no,unknown,27,301,1,-1,0,unknown,no
3192,43,blue-collar,married,primary,no,2047,yes,no,unknown,13,163,2,-1,0,unknown,no
2396,78,retired,married,unknown,no,4807,no,no,telephone,3,892,2,104,4,success,yes
608,47,blue-collar,married,secondary,no,0,yes,no,cellular,9,168,4,180,2,other,no
664,46,management,married,tertiary,no,1514,no,no,cellular,7,94,2,-1,0,unknown,no
2074,37,unemployed,single,secondary,no,443,no,no,cellular,29,1600,1,-1,0,unknown,yes
926,41,admin.,married,secondary,no,14968,no,no,cellular,23,1360,4,-1,0,unknown,yes
2372,31,management,married,tertiary,no,395,yes,no,cellular,9,155,3,-1,0,unknown,no
295,29,services,single,tertiary,no,1788,no,no,cellular,27,353,1,-1,0,unknown,yes
3085,39,services,married,secondary,no,0,no,no,cellular,7,333,5,-1,0,unknown,no
3418,35,technician,married,secondary,no,1508,no,no,cellular,28,339,8,-1,0,unknown,no
998,26,technician,single,secondary,no,206,no,no,cellular,29,89,1,-1,0,unknown,no
2021,33,management,single,tertiary,no,30,yes,no,cellular,22,1077,1,-1,0,unknown,yes
2775,36,admin.,single,secondary,no,1414,yes,no,cellular,16,244,1,-1,0,unknown,no
2195,31,services,single,secondary,no,2251,yes,yes,cellular,17,134,1,-1,0,unknown,no
2899,42,management,married,secondary,no,2416,yes,no,unknown,20,138,4,-1,0,unknown,no
3688,34,management,divorced,tertiary,no,0,yes,no,cellular,27,36,7,-1,0,unknown,no
3226,43,self-employed,married,secondary,no,5564,no,no,cellular,20,45,5,154,2,failure,no
2731,58,unemployed,married,secondary,no,687,yes,no,cellular,7,221,1,99,2,success,yes
2675,74,retired,married,primary,no,0,no,no,telephone,13,562,2,-1,0,unknown,yes
2175,59,blue-collar,divorced,primary,no,55,no,no,cellular,7,13,20,-1,0,unknown,no
1755,45,blue-collar,married,secondary,no,-96,no,no,cellular,28,517,2,-1,0,unknown,no
1785,39,services,divorced,secondary,no,42,no,no,cellular,31,75,2,-1,0,unknown,no
3971,38,management,married,tertiary,no,6999,no,no,unknown,20,11,2,-1,0,unknown,no
1149,32,blue-collar,single,secondary,no,160,yes,no,unknown,9,190,1,-1,0,unknown,no
136,39,blue-collar,married,primary,no,390,yes,no,cellular,17,206,1,-1,0,unknown,no
2044,42,admin.,married,secondary,no,445,yes,no,unknown,5,67,1,-1,0,unknown,no
2528,37,self-employed,married,secondary,no,744,yes,yes,cellular,21,161,3,-1,0,unknown,no
1736,27,housemaid,married,primary,no,0,yes,no,cellular,23,435,3,-1,0,unknown,no
2213,73,retired,married,tertiary,no,443,no,no,cellular,5,133,2,-1,0,unknown,no
2403,77,retired,married,secondary,no,610,no,no,cellular,13,766,3,-1,0,unknown,no
3202,52,management,married,tertiary,no,1065,yes,yes,cellular,21,224,2,175,1,failure,no
793,30,management,single,tertiary,no,358,yes,no,unknown,19,88,51,-1,0,unknown,no
2237,58,technician,divorced,secondary,no,797,yes,no,unknown,6,134,2,-1,0,unknown,no
1870,45,technician,married,unknown,no,886,yes,no,cellular,13,75,2,42,1,failure,no
1745,37,blue-collar,single,secondary,no,9306,yes,no,cellular,11,603,1,-1,0,unknown,no
759,43,self-employed,married,secondary,no,487,yes,no,telephone,18,54,2,279,4,failure,no
3944,40,admin.,single,secondary,no,739,yes,no,unknown,16,132,1,-1,0,unknown,no
3076,38,self-employed,divorced,tertiary,no,6447,no,no,cellular,12,296,1,-1,0,unknown,no
79,37,technician,married,secondary,no,1707,yes,no,cellular,26,546,2,784,3,failure,yes
2708,33,management,married,tertiary,no,1047,no,no,cellular,8,512,4,-1,0,unknown,yes
2375,37,management,married,tertiary,no,1276,no,no,cellular,14,156,2,-1,0,unknown,yes
2060,31,admin.,single,secondary,no,747,yes,no,unknown,26,543,2,-1,0,unknown,yes
2244,32,blue-collar,single,secondary,no,400,no,no,cellular,4,268,3,-1,0,unknown,yes
2075,55,housemaid,divorced,unknown,no,3068,no,no,cellular,7,44,3,-1,0,unknown,no
2123,47,management,married,tertiary,no,2306,no,no,telephone,6,239,4,-1,0,unknown,yes
2211,34,blue-collar,married,secondary,no,-185,yes,yes,unknown,13,276,1,-1,0,unknown,no
3127,45,admin.,divorced,secondary,no,0,no,no,cellular,29,264,1,-1,0,unknown,yes
661,60,retired,married,tertiary,no,108,no,no,cellular,26,624,1,-1,0,unknown,yes
1564,52,technician,divorced,secondary,no,5102,no,no,cellular,8,117,2,-1,0,unknown,no
740,31,blue-collar,married,secondary,no,186,yes,no,unknown,8,257,3,-1,0,unknown,no
1253,34,management,married,tertiary,no,2287,yes,no,unknown,26,895,4,-1,0,unknown,yes
2813,32,management,married,tertiary,no,62,yes,no,cellular,14,166,1,-1,0,unknown,no
1702,29,self-employed,single,tertiary,no,-114,yes,no,unknown,13,174,1,-1,0,unknown,no
3123,46,housemaid,divorced,primary,no,2291,no,no,unknown,17,218,1,-1,0,unknown,no
251,47,unemployed,married,secondary,yes,0,no,no,cellular,18,81,2,-1,0,unknown,no
540,29,housemaid,married,primary,no,417,no,no,cellular,23,108,2,-1,0,unknown,no
3516,61,management,married,tertiary,no,1224,no,no,cellular,1,99,1,-1,0,unknown,no
2373,34,admin.,divorced,secondary,no,531,no,no,cellular,4,279,1,-1,0,unknown,no
2054,25,student,single,secondary,no,304,no,no,cellular,30,152,1,188,2,success,no
2479,39,blue-collar,married,primary,no,12,no,no,unknown,20,210,2,-1,0,unknown,no
1047,57,admin.,single,secondary,no,738,no,no,cellular,17,56,1,-1,0,unknown,no
291,46,management,married,tertiary,no,48,no,no,unknown,13,120,1,-1,0,unknown,no
3937,31,management,single,tertiary,no,522,no,no,telephone,29,113,4,-1,0,unknown,no
251,26,technician,single,secondary,no,668,yes,no,unknown,28,576,3,-1,0,unknown,yes
147,41,services,divorced,secondary,yes,-198,no,yes,unknown,14,133,1,-1,0,unknown,no
933,41,blue-collar,divorced,secondary,no,5291,yes,no,unknown,14,1423,3,-1,0,unknown,yes
741,40,technician,divorced,secondary,no,0,no,no,cellular,7,674,2,-1,0,unknown,yes
2936,43,management,divorced,tertiary,no,2367,no,no,cellular,1,114,1,38,2,other,yes
1835,38,services,single,secondary,no,164,no,yes,cellular,15,188,3,-1,0,unknown,no
3494,42,self-employed,married,secondary,no,513,no,no,telephone,5,98,1,-1,0,unknown,no
846,32,technician,divorced,tertiary,no,3628,no,no,cellular,18,130,2,-1,0,unknown,no
2689,42,blue-collar,divorced,secondary,no,1450,no,no,cellular,4,394,2,-1,0,unknown,no
3409,24,student,single,secondary,no,597,yes,no,cellular,20,943,3,-1,0,unknown,yes
1018,33,management,divorced,secondary,no,5,yes,no,unknown,13,1346,1,-1,0,unknown,yes
355,34,self-employed,single,secondary,no,296,no,no,cellular,27,609,13,-1,0,unknown,yes
2177,38,services,married,secondary,no,0,yes,yes,cellular,11,184,2,-1,0,unknown,no
783,38,management,married,tertiary,no,1276,no,no,cellular,17,272,2,182,3,success,yes
3531,33,technician,married,secondary,no,359,yes,no,cellular,20,210,1,242,1,other,no
2568,57,admin.,married,unknown,no,0,yes,no,unknown,15,215,2,-1,0,unknown,no
3427,60,management,married,tertiary,no,1574,no,no,cellular,26,189,2,349,1,failure,no
440,32,blue-collar,married,secondary,no,38,yes,no,unknown,23,368,5,-1,0,unknown,no
1629,28,management,single,tertiary,no,9314,no,no,cellular,2,276,2,-1,0,unknown,yes
1807,25,blue-collar,single,secondary,no,377,no,no,cellular,15,1412,4,-1,0,unknown,no
2,52,housemaid,divorced,tertiary,no,4306,no,no,cellular,22,107,2,-1,0,unknown,no
1116,46,blue-collar,married,primary,no,333,yes,no,cellular,31,284,4,-1,0,unknown,no
2651,36,blue-collar,married,primary,no,2079,yes,yes,unknown,19,403,2,-1,0,unknown,no
2003,34,management,married,tertiary,no,362,yes,no,unknown,30,38,3,-1,0,unknown,no
3328,28,blue-collar,single,secondary,no,387,yes,no,cellular,13,61,11,282,1,other,no
2937,44,blue-collar,single,primary,no,-234,yes,yes,cellular,15,71,3,347,1,failure,no
785,60,retired,married,primary,no,957,no,no,cellular,6,224,2,-1,0,unknown,no
177,44,services,married,secondary,no,483,yes,no,telephone,25,87,1,-1,0,unknown,no
2663,26,admin.,single,secondary,no,338,no,no,cellular,29,245,1,92,3,success,no
1241,34,management,married,tertiary,no,902,yes,no,cellular,14,159,1,367,2,other,no
568,55,retired,married,secondary,no,0,no,no,cellular,4,1110,1,-1,0,unknown,yes
2836,51,management,married,tertiary,no,346,no,no,cellular,12,134,2,192,3,failure,yes
1392,41,management,single,tertiary,no,572,yes,no,unknown,8,8,2,-1,0,unknown,no
2548,49,blue-collar,married,secondary,no,298,yes,no,cellular,3,392,3,-1,0,unknown,no
720,27,student,single,secondary,no,1411,no,no,cellular,2,92,1,-1,0,unknown,no
3522,36,blue-collar,married,secondary,no,0,no,no,unknown,5,174,1,-1,0,unknown,no
196,30,services,married,secondary,no,271,yes,no,unknown,15,365,1,-1,0,unknown,no
2099,33,management,married,tertiary,no,808,yes,no,cellular,19,12,16,-1,0,unknown,no
3155,36,blue-collar,married,primary,yes,-1168,yes,no,unknown,29,216,7,-1,0,unknown,no
3334,40,services,married,secondary,no,293,no,no,telephone,4,192,2,-1,0,unknown,no
1431,40,admin.,single,unknown,no,355,yes,no,cellular,7,345,2,138,6,other,no
3100,46,management,married,tertiary,no,191,yes,no,cellular,17,58,1,-1,0,unknown,no
3812,29,blue-collar,single,secondary,no,922,yes,no,cellular,18,72,1,-1,0,unknown,no
3101,40,admin.,married,primary,no,189,yes,no,unknown,27,160,2,-1,0,unknown,no
2469,31,blue-collar,married,unknown,yes,-13,yes,no,unknown,30,176,4,-1,0,unknown,no
2298,31,management,single,tertiary,no,58,no,no,cellular,29,207,2,-1,0,unknown,no
3394,40,management,married,tertiary,no,0,no,no,cellular,6,131,2,98,6,success,yes
1829,33,blue-collar,married,secondary,no,5,yes,no,unknown,26,175,2,-1,0,unknown,no
1869,49,services,married,secondary,no,4697,yes,no,cellular,31,66,1,-1,0,unknown,no
1379,37,services,married,secondary,no,749,yes,no,cellular,3,121,2,-1,0,unknown,no
752,46,management,married,tertiary,no,71,yes,no,cellular,19,220,4,-1,0,unknown,no
3698,37,self-employed,single,tertiary,no,676,no,no,cellular,5,133,2,-1,0,unknown,no
3646,35,management,single,tertiary,no,2306,no,no,cellular,18,86,7,-1,0,unknown,no
221,50,blue-collar,married,secondary,no,26,yes,no,cellular,7,245,5,366,2,failure,no
2261,41,unemployed,married,primary,no,101,yes,no,cellular,11,275,1,-1,0,unknown,no
1152,54,admin.,married,secondary,no,602,no,no,cellular,3,143,2,-1,0,unknown,yes
475,57,retired,divorced,tertiary,no,476,no,no,telephone,21,26,1,-1,0,unknown,no
1373,42,services,single,secondary,no,3403,yes,no,cellular,7,215,1,99,1,failure,yes
1804,49,services,married,secondary,no,884,yes,no,telephone,8,201,3,-1,0,unknown,no
1451,29,blue-collar,married,secondary,no,97,yes,no,cellular,18,342,4,-1,0,unknown,no
3669,45,services,married,secondary,no,561,yes,no,unknown,29,340,7,-1,0,unknown,no
3545,28,admin.,single,secondary,no,53,no,no,cellular,2,67,1,-1,0,unknown,no
1857,34,entrepreneur,married,secondary,no,1847,yes,no,cellular,9,543,3,321,6,failure,no
2777,25,management,single,tertiary,no,222,no,no,cellular,27,114,1,-1,0,unknown,no
1927,58,management,divorced,tertiary,no,5,yes,no,unknown,9,412,1,-1,0,unknown,no
1871,52,blue-collar,single,unknown,no,1785,no,no,cellular,3,168,2,-1,0,unknown,no
550,50,management,married,secondary,no,309,no,no,telephone,5,113,1,-1,0,unknown,no
2274,58,admin.,married,secondary,no,1464,yes,yes,unknown,5,53,29,-1,0,unknown,no
729,31,management,single,tertiary,no,924,no,no,cellular,27,172,1,-1,0,unknown,yes
2712,45,technician,married,secondary,no,118,yes,no,unknown,7,208,2,-1,0,unknown,no
497,67,retired,married,tertiary,no,1948,no,no,cellular,2,844,2,155,5,success,no
3901,38,management,married,tertiary,no,238,no,no,cellular,4,139,1,92,3,failure,yes
790,60,technician,married,unknown,no,132,yes,no,unknown,20,21,11,-1,0,unknown,no
3327,56,services,divorced,secondary,no,1007,no,no,cellular,29,88,6,-1,0,unknown,no
1143,46,technician,married,secondary,no,0,no,no,unknown,6,186,2,-1,0,unknown,no
2966,31,blue-collar,married,secondary,no,3364,yes,no,cellular,20,290,1,-1,0,unknown,no
1622,46,management,married,tertiary,no,197,no,no,cellular,20,118,4,-1,0,unknown,no
80,32,blue-collar,married,primary,no,159,yes,no,unknown,21,207,3,-1,0,unknown,no
3483,46,management,married,tertiary,no,0,no,no,cellular,18,716,2,110,3,other,yes
1410,52,management,married,unknown,no,672,no,yes,cellular,17,171,1,-1,0,unknown,no
1986,34,blue-collar,single,primary,no,326,yes,no,cellular,29,263,2,-1,0,unknown,no
2459,46,technician,divorced,secondary,no,0,no,no,telephone,14,135,8,-1,0,unknown,no
309,50,blue-collar,married,secondary,no,0,no,no,cellular,27,78,3,-1,0,unknown,no
482,40,admin.,married,secondary,no,419,yes,yes,cellular,12,92,1,369,1,failure,no
3707,52,blue-collar,married,secondary,no,557,no,no,unknown,8,111,3,-1,0,unknown,no
2482,54,blue-collar,married,primary,no,348,yes,no,unknown,5,579,2,-1,0,unknown,no
3186,43,admin.,married,secondary,no,0,yes,no,cellular,4,175,1,-1,0,unknown,no
2629,56,technician,married,secondary,no,264,yes,yes,cellular,7,639,2,280,5,success,no
288,40,services,single,secondary,no,19343,yes,no,unknown,26,168,4,-1,0,unknown,no
3962,34,blue-collar,single,secondary,no,3043,yes,yes,cellular,20,670,1,-1,0,unknown,yes
3625,52,management,married,tertiary,no,6873,yes,no,cellular,21,235,2,-1,0,unknown,no
413,32,services,single,secondary,no,486,no,no,cellular,29,1181,1,-1,0,unknown,yes
2532,61,blue-collar,married,secondary,no,272,no,no,cellular,29,318,1,269,1,failure,no
811,49,services,married,unknown,no,1499,yes,no,cellular,8,87,1,-1,0,unknown,no
332,32,management,divorced,tertiary,no,222,no,yes,cellular,15,820,4,-1,0,unknown,yes
1799,51,technician,married,secondary,no,580,yes,no,telephone,2,117,5,-1,0,unknown,no
1157,58,retired,married,secondary,no,-205,yes,no,unknown,23,253,2,-1,0,unknown,no
3376,30,technician,single,tertiary,no,655,no,no,cellular,6,384,2,-1,0,unknown,yes
2548,45,management,married,tertiary,no,1186,no,no,cellular,29,25,7,-1,0,unknown,no
885,45,admin.,married,secondary,no,-547,yes,no,unknown,3,214,2,-1,0,unknown,no
2205,29,blue-collar,single,primary,no,269,no,no,telephone,6,40,1,-1,0,unknown,no
991,58,management,married,tertiary,no,3864,yes,no,cellular,15,815,4,-1,0,unknown,yes
3772,55,technician,married,secondary,no,445,no,no,cellular,4,99,2,-1,0,unknown,no
1,28,services,single,secondary,no,230,yes,yes,cellular,17,181,2,-1,0,unknown,no
377,59,management,single,tertiary,no,623,yes,no,cellular,7,212,4,-1,0,unknown,no
915,41,management,married,tertiary,no,8553,yes,no,cellular,12,304,12,-1,0,unknown,no
2181,38,blue-collar,married,primary,no,759,yes,no,cellular,11,57,1,-1,0,unknown,no
1590,28,blue-collar,married,secondary,no,4287,no,no,cellular,30,171,1,-1,0,unknown,no
2627,27,blue-collar,single,secondary,no,535,no,no,cellular,15,171,1,91,2,success,yes
538,49,technician,single,secondary,no,1377,no,no,cellular,5,935,1,-1,0,unknown,yes
2536,40,services,single,secondary,no,23,yes,no,unknown,8,179,5,-1,0,unknown,no
1596,28,management,single,tertiary,no,939,yes,no,unknown,27,740,1,-1,0,unknown,yes
1744,47,blue-collar,married,primary,no,3038,yes,no,cellular,14,151,2,-1,0,unknown,no
1912,35,self-employed,married,tertiary,no,8647,no,no,cellular,19,140,2,-1,0,unknown,no
2866,43,self-employed,married,secondary,yes,-1415,no,no,cellular,10,58,1,-1,0,unknown,no
1057,46,blue-collar,married,primary,no,3969,no,no,telephone,7,46,5,-1,0,unknown,no
969,54,admin.,divorced,unknown,no,0,no,no,cellular,14,191,3,-1,0,unknown,no
1766,36,services,married,secondary,no,8114,yes,no,unknown,6,505,1,-1,0,unknown,no
3012,38,management,married,tertiary,no,1101,yes,no,cellular,9,78,2,120,1,failure,no
1923,30,management,single,tertiary,no,0,yes,no,cellular,5,495,1,-1,0,unknown,no
1780,47,unemployed,married,primary,no,3723,no,no,cellular,21,108,1,-1,0,unknown,no
2913,49,self-employed,married,tertiary,no,271,yes,no,cellular,18,140,4,-1,0,unknown,no
2668,58,management,divorced,secondary,no,10180,no,no,cellular,3,180,2,-1,0,unknown,yes
851,55,unemployed,single,tertiary,no,1513,yes,no,unknown,8,60,1,-1,0,unknown,no
287,29,management,married,tertiary,no,1474,yes,yes,unknown,29,79,3,-1,0,unknown,no
1018,42,technician,married,tertiary,no,14282,yes,no,cellular,6,649,4,-1,0,unknown,yes
24,32,blue-collar,married,primary,no,103,no,no,cellular,23,312,1,-1,0,unknown,no
1890,42,admin.,married,secondary,no,-1386,yes,yes,cellular,15,56,4,-1,0,unknown,no
1827,33,entrepreneur,single,secondary,no,1808,no,no,cellular,19,84,1,-1,0,unknown,no
3031,34,entrepreneur,married,primary,no,1188,yes,no,cellular,18,1503,11,-1,0,unknown,no
2199,48,unemployed,married,primary,no,0,no,no,cellular,29,569,2,-1,0,unknown,no
2314,59,retired,married,secondary,no,566,no,no,cellular,12,464,4,-1,0,unknown,no
2458,40,blue-collar,married,secondary,no,280,yes,no,cellular,8,435,2,340,3,failure,no
334,31,management,single,tertiary,no,350,yes,no,cellular,12,359,2,-1,0,unknown,no
3125,48,blue-collar,married,secondary,no,0,no,no,cellular,6,311,5,-1,0,unknown,no
3693,51,technician,married,secondary,no,19,no,yes,cellular,8,160,4,-1,0,unknown,no
113,39,blue-collar,married,primary,no,52,no,no,cellular,13,69,1,-1,0,unknown,no
2252,32,technician,single,tertiary,no,1094,yes,no,cellular,11,207,7,-1,0,unknown,no
2032,36,technician,married,secondary,no,186,yes,no,cellular,12,187,3,-1,0,unknown,no
3511,42,management,single,tertiary,no,0,yes,yes,unknown,5,562,2,-1,0,unknown,yes
2203,26,blue-collar,married,secondary,no,160,yes,no,cellular,18,252,4,-1,0,unknown,no
1869,31,self-employed,married,tertiary,no,2666,no,no,cellular,10,318,2,97,6,success,yes
1782,55,management,divorced,tertiary,no,-207,no,no,cellular,2,211,1,-1,0,unknown,no
1712,32,admin.,married,tertiary,no,57,no,no,cellular,9,530,2,-1,0,unknown,no
1738,47,technician,married,secondary,no,834,no,yes,cellular,21,902,1,133,2,other,yes
3060,52,unemployed,married,secondary,no,1416,no,no,cellular,10,436,2,182,1,success,yes
2669,43,technician,married,primary,no,4844,yes,no,cellular,19,434,1,-1,0,unknown,no
3378,30,management,single,tertiary,no,4210,no,no,cellular,12,796,4,-1,0,unknown,yes
3022,46,unknown,married,primary,no,285,no,no,unknown,11,215,2,-1,0,unknown,no
3321,60,blue-collar,married,primary,no,2221,no,no,cellular,6,2191,2,-1,0,unknown,no
3411,50,management,married,tertiary,no,414,yes,no,cellular,3,707,1,302,3,failure,yes
3907,37,services,married,secondary,no,1960,yes,yes,cellular,15,246,5,-1,0,unknown,no
1643,27,blue-collar,single,primary,no,1,yes,no,cellular,28,120,6,-1,0,unknown,no
17,44,technician,single,unknown,no,11115,no,no,cellular,25,189,1,185,4,success,no
1408,34,admin.,single,tertiary,no,2045,no,no,cellular,29,146,2,-1,0,unknown,no
523,45,housemaid,married,primary,no,7353,no,no,cellular,13,536,2,-1,0,unknown,no
485,37,admin.,married,secondary,no,11303,no,no,cellular,26,500,2,-1,0,unknown,no
